STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Fullum / Ontario,Ville-Marie,45.5303174,-73.5548669,Rivard / Mont-Royal,Le Plateau-Mont-Royal,45.52460802360213,-73.58266656610795,1714754240405,1714755213646
Parc de Dieppe,Ville-Marie,45.501863463435576,-73.5439610481262,de la Commune / King,Ville-Marie,45.49750375338383,-73.55284452438353,1714742225644,1714742926041
du Havre / de Rouen,Ville-Marie,45.53456256501449,-73.55478646466509,Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,45.55118417872238,-73.54087114334106,1714754167396,1714754806275
Complexe sportif Claude-Robillard (Émile-Journault),Ahuntsic-Cartierville,45.55358456339093,-73.6383855342865,Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,45.53678525128436,-73.6148879583925,1714753733077,1714754761332
Parc Atwater (Saint-Charles),Le Sud-Ouest,45.477300883436854,-73.57314472410508,Ottawa / du Séminaire,Le Sud-Ouest,45.4912954250061,-73.56159925460815,1714749349204,1714750218132
Parc Atwater (Saint-Charles),Le Sud-Ouest,45.477300883436854,-73.57314472410508,Ottawa / du Séminaire,Le Sud-Ouest,45.4912954250061,-73.56159925460815,1714749332724,1714750203792
de la Peltrie /de la Cote-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,45.499665790644286,-73.63029062747955,Parc Joyce (Rockland / Lajoie),Outremont,45.515617,-73.614991,1714723767126,1714724414871
de la Commune / King,Ville-Marie,45.49750375338383,-73.55284452438353,Métro Verdun (Willibrord/ de Verdun),Verdun,45.45944369868444,-73.57247931886377,1714711823629,1714715293570
Augustin-Cantin / Shearer,Le Sud-Ouest,45.48390169543355,-73.56363236904144,St-Rémi / Ste-Émilie,Le Sud-Ouest,45.46976497412213,-73.58923405408859,1717978015707,1717978882851
Ste-Catherine / Sanguinet,Ville-Marie,45.512936177874096,-73.56124520301817,St-Hubert / de Maisonneuve (sud),Ville-Marie,45.51586835126322,-73.56008380651474,1717979355928,1717979692638
Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52423612093815,-73.58155220746994,de Lanaudière / Mont-Royal,Le Plateau-Mont-Royal,45.53008802331729,-73.57688208474428,1717983379905,1717983658805
Prince-Arthur / du Parc,Le Plateau-Mont-Royal,45.51044465753362,-73.5755842924118,Milton / du Parc,Le Plateau-Mont-Royal,45.50936142835129,-73.57386365532875,1717979761016,1717979853529
Hodge / Laperrière,Saint-Laurent,45.51369983907863,-73.6650772206849,Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault),Saint-Laurent,45.512843286755896,-73.67612421512604,1717985861799,1717986190270
Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52423612093815,-73.58155220746994,Marmier / St-Denis,Rosemont - La Petite-Patrie,45.53080495407925,-73.59839648008347,1717975714842,1717976164410
35e avenue / Beaubien,Rosemont - La Petite-Patrie,45.570081,-73.573047,Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,45.56493679334249,-73.5555911064148,1717971950305,1717972412871
Fullum / Ontario,Ville-Marie,45.5303174,-73.5548669,Milton / du Parc,Le Plateau-Mont-Royal,45.50936142835129,-73.57386365532875,1717970069770,1717971647778
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,45.516090801970655,-73.5701286792755,Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),Ville-Marie,45.508204615051355,-73.56881439685822,1717963828711,1717964104663
Boyer / Rosemont,Rosemont - La Petite-Patrie,45.53409866804061,-73.59553456306458,de Bordeaux / de Bellechasse,Rosemont - La Petite-Patrie,45.54325917626278,-73.59154611825943,1717965663036,1717965940141
Parc des Rapides (LaSalle / 6e avenue),LaSalle,45.42947143740888,-73.59309915918857,Tupper / du Fort,Ville-Marie,45.491202175002506,-73.58074486255646,1717976796833,1717978966993
Victoria / de Maisonneuve,Westmount,45.47742856483265,-73.60016942024231,St-Rémi / Ste-Émilie,Le Sud-Ouest,45.46976497412213,-73.58923405408859,1717971373945,1717971958284
Marquette / Laurier,Le Plateau-Mont-Royal,45.53543,-73.5822,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Mercier - Hochelaga-Maisonneuve,45.554373399819674,-73.55137467384337,1714754195438,1714755052948
St-Denis / Ste-Catherine,Ville-Marie,45.51372291221464,-73.5603104531765,Wolfe / Robin,Ville-Marie,45.51959908817399,-73.56020073872969,1714754653084,1714754966448
Lincoln / du Fort,Ville-Marie,45.49306511863136,-73.58382672071457,Clark / Prince-Arthur,Le Plateau-Mont-Royal,45.513342512307055,-73.57301607728004,1714709916290,1714710947308
des Pins / St-Laurent,Le Plateau-Mont-Royal,45.51522812881499,-73.5750961303711,Ste-Catherine / Union,Ville-Marie,45.50370387789841,-73.56941521167755,1717979268590,1717981793514
des Pins / St-Laurent,Le Plateau-Mont-Royal,45.51522812881499,-73.5750961303711,Clark / Prince-Arthur,Le Plateau-Mont-Royal,45.513342512307055,-73.57301607728004,1717971262842,1717971606216
St-Laurent / Pl. du Marché,Ville-Marie,45.50928960913111,-73.56241598725319,Milton / du Parc,Le Plateau-Mont-Royal,45.50936142835129,-73.57386365532875,1717987657710,1717988111300
Parc Jean-Drapeau (Chemin Macdonald),Ville-Marie,45.512470265414784,-73.53212228978008,Parc St-Patrick (St-Patrick / St-Columban),Le Sud-Ouest,45.48870785150952,-73.55899317193689,1717965554212,1717966768130
Darling / Sherbrooke,Rosemont - La Petite-Patrie,45.54545514686953,-73.55673909187317,Masson / Molson,Rosemont - La Petite-Patrie,45.54434593245247,-73.57697686180472,1717975893931,1717976407218
Duluth / de l'Esplanade,Le Plateau-Mont-Royal,45.515132275425785,-73.58105599880219,du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.52551168509886,-73.57424452900887,1717975568966,1717975923894
Benny / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,45.4648769981855,-73.62659722566605,de Maisonneuve / Greene,Westmount,45.48697062,-73.58929306,1717956402082,1717957281534
Parc Jean-Drapeau (Chemin Macdonald),Ville-Marie,45.512470265414784,-73.53212228978008,Ottawa / du Séminaire,Le Sud-Ouest,45.4912954250061,-73.56159925460815,1717973954752,1717975473270
La Ronde,Ville-Marie,45.52156536710626,-73.53533238172531,St-Dominique / Rachel,Le Plateau-Mont-Royal,45.518593,-73.581566,1717965303575,1717967211522
Aylmer / Prince-Arthur,Le Plateau-Mont-Royal,45.508566869474386,-73.57769787311554,Ottawa / du Séminaire,Le Sud-Ouest,45.4912954250061,-73.56159925460815,1717988681401,1717989697878
St-André / Rachel,Le Plateau-Mont-Royal,45.52409561323593,-73.57537156904073,Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,45.52782485042695,-73.5719096660614,1717973773585,1717974001542
Métro St-Laurent (de Maisonneuve / St-Laurent),Ville-Marie,45.51074821798916,-73.56512099504471,Sherbrooke / Jeanne-d'Arc,Rosemont - La Petite-Patrie,45.55398156058887,-73.55496388156098,1717956103160,1717957875407
Benny / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,45.4648769981855,-73.62659722566605,Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,45.474565185029945,-73.62403571605682,1717962496958,1717962892980
Sherbrooke / Frontenac,Ville-Marie,45.53673221553339,-73.560796189131,des Érables / Laurier,Le Plateau-Mont-Royal,45.538514913607656,-73.57769921422005,1717979214731,1717979942486
Aylmer / Prince-Arthur,Le Plateau-Mont-Royal,45.508566869474386,-73.57769787311554,Ottawa / du Séminaire,Le Sud-Ouest,45.4912954250061,-73.56159925460815,1717988669458,1717989698544
Place des Festivals (du Président-Kennedy / de Bleury),Ville-Marie,45.50764392965887,-73.56932401657104,Fullum / de Rouen,Ville-Marie,45.53225536243612,-73.55892024004788,1717961654177,1717962541105
des Pins / St-Laurent,Le Plateau-Mont-Royal,45.51522812881499,-73.5750961303711,de Gaspé / Beaubien,Rosemont - La Petite-Patrie,45.531957916826386,-73.60700100660324,1717972974576,1717974036373
Place Charles-Le Moyne (St-Charles),Longueuil,45.52504512475178,-73.51951967460082,St-Laurent / Joliette,Longueuil,45.52893060032485,-73.51326006931231,1717974121511,1717974809787
Travaux publics LaSalle (Cordner / Léger),LaSalle,45.44527192876118,-73.62448364496231,de la Commune / King,Ville-Marie,45.49750375338383,-73.55284452438353,1717957536585,1717958737277
St-Dominique / Bernard,Le Plateau-Mont-Royal,45.52793332015246,-73.60122251338906,de Bordeaux / Mont-Royal,Le Plateau-Mont-Royal,45.53451201270128,-73.57283771038055,1714752725735,1714753872983
St-André / Ste-Catherine,Ville-Marie,45.516297540849614,-73.55801045894623,Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),Ville-Marie,45.508204615051355,-73.56881439685822,1714749579286,1714750421982
Mozart / St-Laurent,Rosemont - La Petite-Patrie,45.53328624709234,-73.61546382309369,St-Dominique / Rachel,Le Plateau-Mont-Royal,45.518593,-73.581566,1714748652632,1714749892128
St-André / Ste-Catherine,Ville-Marie,45.516297540849614,-73.55801045894623,Peel / Notre-Dame,Ville-Marie,45.49544692088696,-73.56329441070557,1714746526307,1714747346561
des Jockeys / Décarie,Côte-des-Neiges - Notre-Dame-de-Grâce,45.49404432109336,-73.65449488162994,Métro Villa-Maria (de Monkland / Décarie),Côte-des-Neiges - Notre-Dame-de-Grâce,45.4789683985657,-73.61959934234618,1714747471354,1714748681008
St-André / Ste-Catherine,Ville-Marie,45.516297540849614,-73.55801045894623,Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),Ville-Marie,45.508204615051355,-73.56881439685822,1714749542001,1714750432310
Mozart / St-Laurent,Rosemont - La Petite-Patrie,45.53328624709234,-73.61546382309369,Parc St-Patrick (St-Patrick / St-Columban),Le Sud-Ouest,45.48870785150952,-73.55899317193689,1714753710665,1714756213815
Bloomfield / Bernard,Outremont,45.520338193708305,-73.60775470733641,Durocher / Bernard,Outremont,45.52222528598142,-73.60668718814848,1714751857270,1714752832572
St-André / Ste-Catherine,Ville-Marie,45.516297540849614,-73.55801045894623,Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),Ville-Marie,45.508204615051355,-73.56881439685822,1714749542852,1714750450007
St-André / Ste-Catherine,Ville-Marie,45.516297540849614,-73.55801045894623,Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),Ville-Marie,45.508204615051355,-73.56881439685822,1714749573399,1714750428220
Clark / St-Viateur,Le Plateau-Mont-Royal,45.5251943015533,-73.59935637563467,du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.52551168509886,-73.57424452900887,1714712839117,1714713302314
Boyer / St-Zotique,Rosemont - La Petite-Patrie,45.53848,-73.60556,Querbes / Laurier,Outremont,45.517503062030734,-73.59790614807935,1714716001328,1714717031028
