STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Boyer / St-Zotique,Rosemont - La Petite-Patrie,45.53866220045916,-73.60580742359161,du Rosaire / St-Hubert,Villeray—Saint-Michel—Parc-Extension,45.54481928225348,-73.6215104162693,1728011319355,1728011705459
Guy / Sainte-Catherine,Ville-Marie,45.49497512853125,-73.57777043248461,Parc Hector-Toe-Blake (du Sussex / René-Lévesque),Ville-Marie,45.48915410275294,-73.58088755610879,1728009486058,1728009864222
de la Commune / Berri,Ville-Marie,45.51086,-73.54983,Fortune / Wellington,Le Sud-Ouest,45.477923,-73.559038,1728003656361,1728004602476
Laurier / St-Denis,Le Plateau-Mont-Royal,45.5271540234837,-73.58943924307823,Gilford / des Érables,Le Plateau-Mont-Royal,45.53728040418993,-73.57534691691399,1728010258821,1728010649892
Clark / Prince-Arthur,Le Plateau-Mont-Royal,45.513342512307055,-73.57301607728004,University / Prince-Arthur,Ville-Marie,45.5074794530521,-73.57864737510681,1728021934477,1728022200588
19e avenue / St-Zotique,Rosemont - La Petite-Patrie,45.56168275734862,-73.58564794063568,de Bordeaux / St-Zotique,Rosemont - La Petite-Patrie,45.546534315701145,-73.59866335988045,1728000392683,1728000984320
Métro Joliette  (Hochelaga / Joliette),Mercier - Hochelaga-Maisonneuve,45.54699194653282,-73.55115339159964,9e avenue / Masson,Rosemont - La Petite-Patrie,45.54948994879926,-73.57327222824097,1728005888138,1728006404577
Crescent / de Maisonneuve,Ville-Marie,45.49812041247333,-73.57759594917297,St-Jacques / Lucien L'Allier,Ville-Marie,45.493450388734665,-73.56811289999314,1727987984861,1727988246894
Marie-Anne / de la Roche,Le Plateau-Mont-Royal,45.527550507601894,-73.5762870311737,St-Hubert / Laurier,Le Plateau-Mont-Royal,45.52893724049854,-73.58786880970001,1728009309408,1728009818396
Coloniale / Duluth,Le Plateau-Mont-Royal,45.51786873150825,-73.57842743396758,St-Hubert / Laurier,Le Plateau-Mont-Royal,45.52893724049854,-73.58786880970001,1728015483296,1728016243889
Clark / Prince-Arthur,Le Plateau-Mont-Royal,45.513342512307055,-73.57301607728004,University / Prince-Arthur,Ville-Marie,45.5074794530521,-73.57864737510681,1727978836184,1727979134310
1ère avenue / St-Zotique,Rosemont - La Petite-Patrie,45.551916701344936,-73.59366238117218,9e avenue / Masson,Rosemont - La Petite-Patrie,45.54948994879926,-73.57327222824097,1727994342166,1727994808391
Ste-Famille / des Pins,Le Plateau-Mont-Royal,45.512856179335664,-73.57692807912827,Place des Festivals (du Président-Kennedy / de Bleury),Ville-Marie,45.50764392965887,-73.56932401657104,1727980472169,1727980782699
Crescent / de Maisonneuve,Ville-Marie,45.49812041247333,-73.57759594917297,Place des Festivals (du Président-Kennedy / de Bleury),Ville-Marie,45.50764392965887,-73.56932401657104,1728022408324,1728022647233
Molson / William-Tremblay,Rosemont - La Petite-Patrie,45.541602844435374,-73.56496073305605,9e avenue / Masson,Rosemont - La Petite-Patrie,45.54948994879926,-73.57327222824097,1727990042051,1727990569229
Métro Préfontaine (Moreau / Hochelaga),Mercier - Hochelaga-Maisonneuve,45.541313503285316,-73.5537427291274,Omer-Lavallée / du Midway,Rosemont - La Petite-Patrie,45.5457759528664,-73.56217458844185,1727990645965,1727990912205
Coloniale / Duluth,Le Plateau-Mont-Royal,45.51786873150825,-73.57842743396758,St-Jacques / Lucien L'Allier,Ville-Marie,45.493450388734665,-73.56811289999314,1727992151714,1727993523426
Fortune / Wellington,Le Sud-Ouest,45.477923,-73.559038,Métro Charlevoix (Centre / Charlevoix),Le Sud-Ouest,45.47840089832752,-73.56956273317337,1727993149455,1727993440486
Montcalm / de Maisonneuve,Ville-Marie,45.519131967116216,-73.55788965214742,Waverly / St-Viateur,Le Plateau-Mont-Royal,45.5238561444472,-73.60012650489807,1728023395418,1728024620443
Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52423612093815,-73.58155220746994,Logan / de Champlain,Ville-Marie,45.5231943285584,-73.55584256350994,1728004515735,1728005554997
Boyer / Rosemont,Rosemont - La Petite-Patrie,45.53409866804061,-73.59553456306458,Boyer / Beaubien,Rosemont - La Petite-Patrie,45.537041,-73.602026,1727994624228,1727994801799
Boyer / Rosemont,Rosemont - La Petite-Patrie,45.53409866804061,-73.59553456306458,Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.53221791147474,-73.57543140649796,1728021763728,1728022142511
Victoria / de Maisonneuve,Westmount,45.47742856483265,-73.60016942024231,Notre-Dame-de-Grâce / Westmount,Westmount,45.48046706437983,-73.61122308304402,1727988181802,1727989266490
St-Nicolas / Place d'Youville,Ville-Marie,45.501966859101564,-73.55515256524086,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),Ville-Marie,45.51401222645779,-73.56598667800426,1727990639651,1727991453852
McGill / Wellington,Ville-Marie,45.499447710650415,-73.55489909648894,Mackay / de Maisonneuve,Ville-Marie,45.496840189747,-73.5792407642475,1728016200999,1728017261786
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,45.516090801970655,-73.5701286792755,Sherbrooke / Frontenac,Ville-Marie,45.53673221553339,-73.560796189131,1728009683033,1728010813693
St-Hubert / de Maisonneuve (nord),Ville-Marie,45.51613214980722,-73.56049686670303,de Maisonneuve / Fullum,Ville-Marie,45.52797141659334,-73.54948371648788,1727991845739,1727992265927
de Bellechasse / de St-Vallier,Rosemont - La Petite-Patrie,45.53341043363302,-73.60112428665161,Waverly / St-Viateur,Le Plateau-Mont-Royal,45.5238561444472,-73.60012650489807,1727977172621,1727977571262
du Havre / de Rouen,Ville-Marie,45.53456256501449,-73.55478646466509,de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,45.514524730294404,-73.56835573911665,1727996730037,1727997631701
de Bleury / de Maisonneuve,Ville-Marie,45.50710632433956,-73.56861054897308,Peel / Ottawa,Le Sud-Ouest,45.49419955357054,-73.55998456478119,1727992363866,1727992733865
St-Nicolas / Place d'Youville,Ville-Marie,45.501966859101564,-73.55515256524086,St-Jacques / McGill,Ville-Marie,45.50139912055804,-73.56039762496947,1727989295390,1727989426479
LaSalle / Crawford,Verdun,45.43791516514076,-73.58253550531117,Ottawa / William,Le Sud-Ouest,45.48972725318433,-73.56406286358833,1727986130395,1727987896517
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,45.516090801970655,-73.5701286792755,Molson / William-Tremblay,Rosemont - La Petite-Patrie,45.541602844435374,-73.56496073305605,1727996396603,1727998020913
Ottawa / Peel,Le Sud-Ouest,45.49417217345992,-73.55937838554382,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),Ville-Marie,45.51401222645779,-73.56598667800426,1727997478095,1727998920329
Ste-Catherine / Sanguinet,Ville-Marie,45.512936177874096,-73.56124520301817,de Maisonneuve / Aylmer (ouest),Ville-Marie,45.505173440423306,-73.5706517100334,1727995511508,1727996043684
