STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
St-Dominique / Laurier,Le Plateau-Mont-Royal,45.52361490311454,-73.59245739877223,Roy / St-André,Le Plateau-Mont-Royal,45.52161742271569,-73.57037329677041,1732062891088,1732063562962
Berri / de Maisonneuve,Ville-Marie,45.515313505702075,-73.56135049208204,Elmwood / Mcdougall,Outremont,45.51778642010814,-73.60364019870758,1732063274054,1732064777463
de Maisonneuve / Mackay,Ville-Marie,45.49652610927994,-73.5787707567215,Mansfield / de la Gauchetière,Ville-Marie,45.499078974175056,-73.56702102351846,1732055911731,1732056411663
Chomedey / de Maisonneuve,Ville-Marie,45.491750449903954,-73.58394473791122,de Maisonneuve / Mackay,Ville-Marie,45.49652610927994,-73.5787707567215,1732044318631,1732044505840
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,45.50363996257211,-73.6182689666748,Roy / St-André,Le Plateau-Mont-Royal,45.52161742271569,-73.57037329677041,1732049227251,1732050394148
Drolet / Marie-Anne,Le Plateau-Mont-Royal,45.522402573414084,-73.58117669820786,des Pins / St-Laurent,Le Plateau-Mont-Royal,45.51522812881499,-73.5750961303711,1732042805460,1732043188829
Drolet / Marie-Anne,Le Plateau-Mont-Royal,45.522402573414084,-73.58117669820786,St-Antoine / Jean-Paul Riopelle,Ville-Marie,45.50304782909863,-73.56058964667682,1732067469765,1732068535168
Laval / Duluth,Le Plateau-Mont-Royal,45.519192617838605,-73.57715926134915,des Pins / St-Laurent,Le Plateau-Mont-Royal,45.51522812881499,-73.5750961303711,1732047924057,1732048203758
Jeanne-Mance / Sherbrooke,Le Plateau-Mont-Royal,45.50934693918775,-73.57122302055359,McTavish / Sherbrooke,Ville-Marie,45.50277615861811,-73.57589408755302,1732064332580,1732064933383
Berri / Cherrier,Le Plateau-Mont-Royal,45.519266156911335,-73.5692971944809,Gauthier / Parthenais,Le Plateau-Mont-Royal,45.53292625574653,-73.56377989053726,1732056814288,1732057705025
