STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,45.50363996257211,-73.6182689666748,St-Hubert / Laurier,Le Plateau-Mont-Royal,45.52893724049854,-73.58786880970001,1713851546419,1713852278339
Chomedey / de Maisonneuve,Ville-Marie,45.491750449903954,-73.58394473791122,St-Antoine / de la Montagne,Ville-Marie,45.495369835210354,-73.56859177350998,1713817704841,1713818406856
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,45.50363996257211,-73.6182689666748,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Le Plateau-Mont-Royal,45.51487490356938,-73.58486406505108,1713821535180,1713822043118
de Gaspé / Villeray,Villeray—Saint-Michel—Parc-Extension,45.53888723230076,-73.62390697002411,Casgrain / St-Viateur,Le Plateau-Mont-Royal,45.52749588747077,-73.59883285129399,1715946861372,1715947445896
de Bordeaux / Mont-Royal,Le Plateau-Mont-Royal,45.53451201270128,-73.57283771038055,Métro Place-d'Armes (Viger / St-Urbain),Ville-Marie,45.50631445605528,-73.55967122894072,1715960382861,1715961789074
Jeanne-Mance / Sherbrooke,Le Plateau-Mont-Royal,45.50928678961862,-73.57101917266846,Calixa-Lavallée / Sherbrooke,Le Plateau-Mont-Royal,45.52479,-73.56545,1715947108712,1715947746455
Bloomfied / Elmwood,Outremont,45.51825588419192,-73.60320568084717,Métro Vendôme (de Marlowe / de Maisonneuve),Côte-des-Neiges - Notre-Dame-de-Grâce,45.47393028235147,-73.60473453998564,1715947233575,1715948595574
Jeanne-Mance / Sherbrooke,Le Plateau-Mont-Royal,45.50928678961862,-73.57101917266846,University / Prince-Arthur,Le Plateau-Mont-Royal,45.5074794530521,-73.57864737510681,1715954276943,1715954514188
St-Alexandre / Viger,Ville-Marie,45.50287438291294,-73.5626620799303,Duke / Nazareth,Ville-Marie,45.49572236030835,-73.55461344122887,1715952790433,1715953334714
du President-Kennedy / Union,Ville-Marie,45.505102242483595,-73.57187882065773,University / Prince-Arthur,Le Plateau-Mont-Royal,45.5074794530521,-73.57864737510681,1715886408985,1715886691718
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,45.5353599615622,-73.60363483428955,Parc Delorme (Malouin / Laferté),Saint-Léonard,45.5904902,-73.5902694,1715923286363,1715924732092
Ste-Catherine / Towers,Ville-Marie,45.49228068089086,-73.58096480369566,Parc Howard (de l'Épée / de Liège),Villeray—Saint-Michel—Parc-Extension,45.53318929909303,-73.64188581705093,1715913994798,1715916596942
Laval / Duluth,Le Plateau-Mont-Royal,45.519192617838605,-73.57715926134915,10e avenue / Masson,Rosemont - La Petite-Patrie,45.55037651450808,-73.57373356819151,1715913979852,1715915220274
St-Alexandre / Viger,Ville-Marie,45.50287438291294,-73.5626620799303,St-Antoine / de la Montagne,Ville-Marie,45.495369835210354,-73.56859177350998,1715881143061,1715881476842
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,45.50363996257211,-73.6182689666748,Vallières / St-Laurent,Le Plateau-Mont-Royal,45.518967223320054,-73.5836161673069,1715895528934,1715896405603
