STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Boyer / Bélanger,Rosemont - La Petite-Patrie,45.54006,-73.60897,des Pins / St-Laurent,Le Plateau-Mont-Royal,45.51522812881499,-73.5750961303711,1732381372874,1732382284176
Pierce / Ste-Catherine,Ville-Marie,45.49445796005324,-73.5787171125412,de Maisonneuve / Mansfield (sud-est),Ville-Marie,45.50229349416256,-73.5733064264059,1732382270685,1732382565821
Pierre-de-Coubertin / Aird,Mercier - Hochelaga-Maisonneuve,45.55903106539297,-73.54830354452133,Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.53221791147474,-73.57543140649796,1732414151693,1732415772463
Roy / Saint-Laurent,Le Plateau-Mont-Royal,45.51565182195085,-73.57577390039296,Roy / St-André,Le Plateau-Mont-Royal,45.52161742271569,-73.57037329677041,1732392340052,1732392595650
Pierre-de-Coubertin / Aird,Mercier - Hochelaga-Maisonneuve,45.55903106539297,-73.54830354452133,Sherbrooke / Frontenac,Ville-Marie,45.53673221553339,-73.560796189131,1732405291757,1732406112271
Mackay / Ste-Catherine,Ville-Marie,45.495774063803815,-73.57687845826149,St-Antoine / Jean-Paul Riopelle,Ville-Marie,45.50304782909863,-73.56058964667682,1732406234961,1732406832199
Boyer / Bélanger,Rosemont - La Petite-Patrie,45.54006,-73.60897,Boyer / Bélanger,Rosemont - La Petite-Patrie,45.54006,-73.60897,1732397026491,1732397057997
3e avenue / Wellington,Verdun,45.457304311219616,-73.56723271765077,LaSalle / Godin,Verdun,45.44693448484644,-73.57219934463501,1732409227123,1732409536442
de l'Esplanade / Beaubien,Rosemont - La Petite-Patrie,45.528399838582324,-73.61192286014557,Drolet / Marie-Anne,Le Plateau-Mont-Royal,45.522402573414084,-73.58117669820786,1732397383493,1732398097670
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,45.55331997202561,-73.58763143420218,Boyer / Bélanger,Rosemont - La Petite-Patrie,45.54006,-73.60897,1732396703194,1732397515066
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319051,-73.5645255446434,Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.53221791147474,-73.57543140649796,1732403238225,1732403467039
Mackay / Ste-Catherine,Ville-Marie,45.495774063803815,-73.57687845826149,Lincoln / St-Mathieu,Ville-Marie,45.49503704949293,-73.58157634735107,1732412986719,1732413516015
St-Jacques / Richmond,Le Sud-Ouest,45.4906636488045,-73.57080727815628,Ottawa / William,Le Sud-Ouest,45.48972725318433,-73.56406286358833,1732407345935,1732407569731
St-Hubert / Duluth,Le Plateau-Mont-Royal,45.522425652788634,-73.57418417930603,Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.5169290827898,-73.58911652441746,1732401598830,1732402425312
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.53221791147474,-73.57543140649796,de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,45.514524730294404,-73.56835573911665,1732405247503,1732406036910
St-Hubert / Duluth,Le Plateau-Mont-Royal,45.522425652788634,-73.57418417930603,des Pins / St-Laurent,Le Plateau-Mont-Royal,45.51522812881499,-73.5750961303711,1732437910371,1732438236099
du Parc-La Fontaine / Roy,Le Plateau-Mont-Royal,45.522987952690826,-73.56920063495635,Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.53221791147474,-73.57543140649796,1732377945778,1732378211760
St-Hubert / Duluth,Le Plateau-Mont-Royal,45.522425652788634,-73.57418417930603,Boyer / Bélanger,Rosemont - La Petite-Patrie,45.54006,-73.60897,1732387429052,1732388391383
3e avenue / Wellington,Verdun,45.457304311219616,-73.56723271765077,LaSalle / Godin,Verdun,45.44693448484644,-73.57219934463501,1732393714377,1732394466209
Messier / du Mont-Royal,Le Plateau-Mont-Royal,45.53711414,-73.5710031,Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.53221791147474,-73.57543140649796,1732412370308,1732412650453
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,45.55331997202561,-73.58763143420218,Chabot / du Mont-Royal,Le Plateau-Mont-Royal,45.53413436610844,-73.57352435588837,1732437556215,1732438360595
St-Antoine / de la Montagne,Ville-Marie,45.495369835210354,-73.56859177350998,Drummond / Sherbrooke,Ville-Marie,45.500535752214155,-73.578113079202,1732412661284,1732412971489
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.53221791147474,-73.57543140649796,Boyer / Bélanger,Rosemont - La Petite-Patrie,45.54006,-73.60897,1732404977950,1732406042277
Métro de l'Église (Ross / de l'Église),Verdun,45.4628312022419,-73.56593772768973,Drummond / Sherbrooke,Ville-Marie,45.500535752214155,-73.578113079202,1732398461270,1732400632682
