STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Aylmer / Prince-Arthur,Le Plateau-Mont-Royal,45.508566869474386,-73.57769787311554,Prince-Arthur / du Parc,Le Plateau-Mont-Royal,45.51044465753362,-73.5755842924118,1715616722748,1715616798637
Cathcart / McGill College,Ville-Marie,45.501187681489775,-73.57045487814501,de la Montagne / Notre-Dame,Le Sud-Ouest,45.492913379064625,-73.5646878182888,1715617304461,1715617747677
St-André / Cherrier,Le Plateau-Mont-Royal,45.52051578783967,-73.567695915699,Métro St-Laurent ( de Maisonneuve / St-Laurent),Ville-Marie,45.51074821798916,-73.56512099504471,1713623070841,1713623508743
Marché Jean-Talon (Casgrain / Shamrock),Rosemont - La Petite-Patrie,45.53519006163501,-73.61548215150833,Marquette / Fleury,Ahuntsic-Cartierville,45.56735205736566,-73.65378744900227,1713626850806,1713628289304
Duluth / de l'Esplanade,Le Plateau-Mont-Royal,45.515132275425785,-73.58105599880219,de la Montagne / Notre-Dame,Le Sud-Ouest,45.492913379064625,-73.5646878182888,1713618238281,1713619110648
Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),Côte-des-Neiges - Notre-Dame-de-Grâce,45.495537539518104,-73.6222583055769,Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,45.50363996257211,-73.6182689666748,1713621587456,1713621982313
Berri / Rachel,Le Plateau-Mont-Royal,45.52275023118295,-73.57724860310555,Métro St-Laurent ( de Maisonneuve / St-Laurent),Ville-Marie,45.51074821798916,-73.56512099504471,1713629186406,1713629679264
Laval / du Mont-Royal,Le Plateau-Mont-Royal,45.5223645775784,-73.58414590358734,des Récollets / McGill,Ville-Marie,45.5008764952487,-73.55900555849075,1713614723500,1713615707533
Marquette / Laurier,Le Plateau-Mont-Royal,45.53543,-73.5822,des Érables / Bélanger,Rosemont - La Petite-Patrie,45.54912085535069,-73.60087350010872,1713627742360,1713628732592
St-André / Ste-Catherine,Ville-Marie,45.516297540849614,-73.55801045894623,Métro Papineau (Dorion / De Maisonneuve),Ville-Marie,45.5238445756922,-73.55236601831166,1715611290781,1715611589638
Guy / Notre-Dame,Le Sud-Ouest,45.490000580719105,-73.56706600863617,du President-Kennedy / Union,Ville-Marie,45.505102242483595,-73.57187882065773,1715606322694,1715607016679
Montcalm / Ontario,Ville-Marie,45.52110494530867,-73.56229394674301,McGill / Wellington,Ville-Marie,45.499447710650415,-73.55489909648894,1715602237500,1715603165079
St-Ambroise / Louis-Cyr,Le Sud-Ouest,45.47519326260791,-73.58094334602356,Hickson / Wellington,Verdun,45.4648845750711,-73.56697873526173,1715619314258,1715620136871
de la Montagne / Notre-Dame,Le Sud-Ouest,45.492913379064625,-73.5646878182888,de la Montagne / Notre-Dame,Le Sud-Ouest,45.492913379064625,-73.5646878182888,1715592387659,1715594278042
