STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
University / Prince-Arthur,Ville-Marie,45.5074794530521,-73.57864737510681,Roy / St-Denis,Le Plateau-Mont-Royal,45.51908,-73.5727,1725394769729,1725395212295
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,45.575812361972055,-73.54123055934906,Rosemont / Viau,Rosemont - La Petite-Patrie,45.56833021674857,-73.56666326522826,1725402778988,1725404969133
St-Jacques / McGill,Ville-Marie,45.50139912055804,-73.56039762496947,William / St-Henri,Ville-Marie,45.49896591854122,-73.55703081942919,1725387131178,1725387283215
Ste-Famille / des Pins,Le Plateau-Mont-Royal,45.512856179335664,-73.57692807912827,Bercy / Rachel,Le Plateau-Mont-Royal,45.53840340979245,-73.56196403503418,1725395800673,1725396869710
Parc Ludger-Duvernay (St-André / St-Hubert),Le Plateau-Mont-Royal,45.53147464147482,-73.59242051839828,Fabre / Laurier,Le Plateau-Mont-Royal,45.53458691154375,-73.58259929347696,1725401635579,1725401963949
Métro Henri-Bourassa (Henri-Bourassa / Millen),Ahuntsic-Cartierville,45.55675103297278,-73.66716161370277,Dudemaine / James-Morrice,Ahuntsic-Cartierville,45.534717640125805,-73.69273205651552,1725419337393,1725420195860
Métro Joliette  (Hochelaga / Joliette),Mercier - Hochelaga-Maisonneuve,45.54699194653282,-73.55115339159964,Dézéry / Ontario,Mercier - Hochelaga-Maisonneuve,45.54095791741757,-73.54702949523926,1725389630842,1725389881205
Laurier / St-Denis,Le Plateau-Mont-Royal,45.5271540234837,-73.58943924307823,Villeray / De Normanville,Villeray—Saint-Michel—Parc-Extension,45.54716675630067,-73.6184438467353,1725413327984,1725414224797
Parthenais / du Mont-Royal,Le Plateau-Mont-Royal,45.53640396516409,-73.57141345739365,Laval / Duluth,Le Plateau-Mont-Royal,45.519192617838605,-73.57715926134915,1729966844965,1729967949544
de Bordeaux / du Mont-Royal,Le Plateau-Mont-Royal,45.53451201270128,-73.57283771038055,Lincoln / du Fort,Ville-Marie,45.49306511863136,-73.58382672071457,1730003966313,1730005925592
Berri / Cherrier,Le Plateau-Mont-Royal,45.519266156911335,-73.5692971944809,de Brébeuf / du Mont-Royal,Le Plateau-Mont-Royal,45.52922355524467,-73.57784914976946,1729991918281,1729992547391
Laval / Duluth,Le Plateau-Mont-Royal,45.519192617838605,-73.57715926134915,Bernard / Jeanne-Mance,Le Plateau-Mont-Royal,45.52428310031213,-73.6049484461546,1729995274075,1729995974862
7e avenue / Masson,Rosemont - La Petite-Patrie,45.54863154452348,-73.57469648122787,Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,45.53180536220488,-73.5975547786984,1729965526989,1729966367659
Chomedey / de Maisonneuve,Ville-Marie,45.491750449903954,-73.58394473791122,Métro Lionel-Groulx (St-Jacques / Atwater),Le Sud-Ouest,45.48295816149219,-73.57975836854166,1730006340903,1730006600547
Fullum / Ste-Catherine,Ville-Marie,45.527137816431285,-73.54804444319598,Place Valois (Valois / Ontario),Mercier - Hochelaga-Maisonneuve,45.54701750084233,-73.543126247896,1729960522215,1729961120987
Chomedey / de Maisonneuve,Ville-Marie,45.491750449903954,-73.58394473791122,Metcalfe / de Maisonneuve,Ville-Marie,45.50177034353527,-73.57427495998309,1729971554717,1729972020924
St-André / Ontario,Ville-Marie,45.51889,-73.56353,Dorion / Ontario,Ville-Marie,45.526991277453526,-73.55821162462234,1729967462028,1729967792560
7e avenue / Masson,Rosemont - La Petite-Patrie,45.54863154452348,-73.57469648122787,Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,45.53180536220488,-73.5975547786984,1729965567741,1729966361677
Drolet / Marie-Anne,Le Plateau-Mont-Royal,45.522402573414084,-73.58117669820786,Chabanel / du Parc,Ahuntsic-Cartierville,45.53830765459552,-73.6548838019371,1729975730569,1729977371606
Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.48952522221574,-73.5844581949641,Marie-Anne / St-Hubert,Le Plateau-Mont-Royal,45.5246829812827,-73.5788968205452,1725402594236,1725404391292
Parc St-Patrick (St-Patrick / St-Columban),Le Sud-Ouest,45.48870785150952,-73.55899317193689,St-Ambroise / Louis-Cyr,Le Sud-Ouest,45.47519326260791,-73.58094334602356,1725406043029,1725406842306
Bennett / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,45.55315915057821,-73.53263273835182,Pierre-de-Coubertin / Aird,Mercier - Hochelaga-Maisonneuve,45.55903106539297,-73.54830354452133,1725393432241,1725393805059
