STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Labadie / du Parc,Le Plateau-Mont-Royal,45.5198946757576,-73.59682738780975,CCI Outremont (Dollard / Ducharme),Outremont,45.520019102391636,-73.61890733242035,1713064101214,1713064593533
Métro Bonaventure (de la Gauchetière / de la Cathédrale),Ville-Marie,45.49831217703312,-73.56725603342056,Guy / Sainte-Catherine,Ville-Marie,45.49497512853125,-73.57777043248461,1713046090297,1713046971278
de Gaspé / Dante,Rosemont - La Petite-Patrie,45.53429782539273,-73.61217230558395,Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52423612093815,-73.58155220746994,1713680291316,1713680936977
Prince-Arthur / du Parc,Le Plateau-Mont-Royal,45.51044465753362,-73.5755842924118,Robert-Bourassa / St-Maurice,Ville-Marie,45.49837045828952,-73.56055587530136,1713659166311,1713659787019
Alexandre-DeSève / Ontario,Ville-Marie,45.52437454361268,-73.56055689979257,Métro Beaudry (Beaudry / Ste-Catherine),Ville-Marie,45.51888453178292,-73.55593845248222,1713683613653,1713684014372
Greene / Workman,Le Sud-Ouest,45.481069047931975,-73.57935216285114,Richardson / Montmorency,Le Sud-Ouest,45.484966061164755,-73.56032252311707,1713633842403,1713634322602
de l'Esplanade / Villeneuve,Le Plateau-Mont-Royal,45.51943184213857,-73.59095953859651,Jeanne-Mance / St-Viateur,Le Plateau-Mont-Royal,45.523026476635074,-73.60184043645859,1713650188413,1713650576316
Marquette / Rachel,Le Plateau-Mont-Royal,45.52983801723605,-73.5703244805336,du Havre / de Rouen,Ville-Marie,45.53456256501449,-73.55478646466509,1713648202537,1713648733750
Métro Jolicoeur (de Sève / Drake),Le Sud-Ouest,45.45608545783109,-73.58193710446358,Marché Atwater,Le Sud-Ouest,45.48020822800015,-73.57759863138199,1713680354777,1713681131016
Frontenac / Ste-Catherine,Ville-Marie,45.53006276144042,-73.54559183120728,Métro Frontenac (Ontario / du Havre),Ville-Marie,45.533705987798946,-73.55217933654784,1713666622554,1713666839855
Laurier / de Bordeaux,Le Plateau-Mont-Royal,45.53725128371284,-73.57918381690979,Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52423612093815,-73.58155220746994,1713663896799,1713664280268
Kirkfield / de Chambois,Côte-des-Neiges - Notre-Dame-de-Grâce,45.51293324107222,-73.63389015197754,Métro Plamondon (de Kent / Victoria),Côte-des-Neiges - Notre-Dame-de-Grâce,45.494686752797904,-73.63871866467889,1713663307386,1713664068442
de l'Esplanade / Villeneuve,Le Plateau-Mont-Royal,45.51943184213857,-73.59095953859651,Duluth / de l'Esplanade,Le Plateau-Mont-Royal,45.515132275425785,-73.58105599880219,1713658214528,1713658435323
Durocher / Sherbrooke,Le Plateau-Mont-Royal,45.507088290505685,-73.57227981090546,Viger / Chenneville,Ville-Marie,45.50531166520915,-73.56089115142822,1717588206680,1717588525552
de Gaspé / de Liège,Villeray—Saint-Michel—Parc-Extension,45.54248521237199,-73.63634169101715,Parc Pratt (Dunlop / Van Horne),Outremont,45.514918954061876,-73.61968517303467,1717594351276,1717595601270
Métro Jean-Talon (Berri / Jean-Talon),Villeray—Saint-Michel—Parc-Extension,45.53900036432657,-73.6142510175705,Faillon / St-Denis,Villeray—Saint-Michel—Parc-Extension,45.539890852781404,-73.62026989459991,1717591584266,1717591757592
St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,45.52952466565309,-73.60488876700401,St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,45.52952466565309,-73.60488876700401,1717582660137,1717583413326
Clark / Prince-Arthur,Le Plateau-Mont-Royal,45.513342512307055,-73.57301607728004,Aylmer / Sherbrooke,Le Plateau-Mont-Royal,45.50629456823703,-73.57282698154448,1717600149487,1717600439969
Clark / Prince-Arthur,Le Plateau-Mont-Royal,45.513342512307055,-73.57301607728004,Milton / du Parc,Le Plateau-Mont-Royal,45.50936142835129,-73.57386365532875,1717547535588,1717547668229
de la Commune / Place Jacques-Cartier,Ville-Marie,45.50761009451047,-73.55183601379395,Smith / Peel,Le Sud-Ouest,45.49276061084002,-73.55641052126883,1717541995522,1717542538782
de St-Vallier / St-Zotique,Rosemont - La Petite-Patrie,45.536434338630336,-73.60783427975548,du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.52551168509886,-73.57424452900887,1717537607537,1717538365505
Coloniale / Duluth,Le Plateau-Mont-Royal,45.51786873150825,-73.57842743396758,Tupper / du Fort,Ville-Marie,45.491202175002506,-73.58074486255646,1717536704599,1717538324901
Square Viger (Berri / Viger),Ville-Marie,45.5121682576952,-73.55481594800949,de la Commune / King,Ville-Marie,45.49750375338383,-73.55284452438353,1717576965745,1717577418594
de la Commune / Place Jacques-Cartier,Ville-Marie,45.50761009451047,-73.55183601379395,McGill / Place d'Youville,Ville-Marie,45.500014581102505,-73.55625258141116,1717559577721,1717559930339
Guy / Sainte-Catherine,Ville-Marie,45.49497512853125,-73.57777043248461,Ste-Catherine / Union,Ville-Marie,45.50370387789841,-73.56941521167755,1717526554063,1717527142887
Coloniale / Duluth,Le Plateau-Mont-Royal,45.51786873150825,-73.57842743396758,Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,45.55118417872238,-73.54087114334106,1717547084692,1717548397444
Plessis / Ontario,Ville-Marie,45.523593057451045,-73.56109768152237,Fullum / Ontario,Ville-Marie,45.5303174,-73.5548669,1717529259440,1717529545892
Durocher / Sherbrooke,Le Plateau-Mont-Royal,45.507088290505685,-73.57227981090546,Peel / Notre-Dame,Ville-Marie,45.49544692088696,-73.56329441070557,1717558530782,1717559124596
University / Prince-Arthur,Ville-Marie,45.5074794530521,-73.57864737510681,Smith / Peel,Le Sud-Ouest,45.49276061084002,-73.55641052126883,1717538914466,1717539761373
Jeanne-d'Arc / Ontario,Mercier - Hochelaga-Maisonneuve,45.54959767887176,-73.54187428951263,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Mercier - Hochelaga-Maisonneuve,45.554373399819674,-73.55137467384337,1717543749918,1717544109855
