STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Fullum / de Rouen,Ville-Marie,45.53225536243612,-73.55892024004788,Plessis / Logan,Ville-Marie,45.5218942750191,-73.55725058932876,1714877762569,1714878118687
Beaudry / Sherbrooke,Ville-Marie,45.52303493310712,-73.56539458036421,Montcalm / de Maisonneuve,Ville-Marie,45.519131967116216,-73.55788965214742,1714862374012,1714862581824
Bernard / Jeanne-Mance,Le Plateau-Mont-Royal,45.52428310031213,-73.6049484461546,Drolet / St-Zotique,Rosemont - La Petite-Patrie,45.53488214147823,-73.60941231250763,1714852947407,1714853786862
de Bellechasse / de Lanaudière,Rosemont - La Petite-Patrie,45.539306918976,-73.59521873295307,Larivière / de Lorimier,Ville-Marie,45.5291345371163,-73.55923354625702,1714851519156,1714852578023
Rosemont / Viau,Rosemont - La Petite-Patrie,45.56833021674857,-73.56666326522826,Aréna Chaumont (Chaumont / des Ormeaux),Anjou,45.610926628992026,-73.54673445224762,1714860008853,1714861917454
du Canal / McLaughlin,Lachine,45.42969214118378,-73.6694884300232,du Canal / McLaughlin,Lachine,45.42969214118378,-73.6694884300232,1714844161267,1714846062167
Gauthier / Papineau,Le Plateau-Mont-Royal,45.52966629503036,-73.56733649969101,Boyer / du Mont-Royal,Le Plateau-Mont-Royal,45.527432126380575,-73.57991673052311,1714876602022,1714876942805
Union / Ste-Catherine,Ville-Marie,45.504027213143104,-73.56970220804214,Union / Ste-Catherine,Ville-Marie,45.504027213143104,-73.56970220804214,1714861788804,1714862421589
Villeneuve / du Parc,Le Plateau-Mont-Royal,45.518197623521424,-73.59239235520363,Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,45.516090801970655,-73.5701286792755,1714887043190,1714887775136
Notre-Dame / St-Gabriel,Ville-Marie,45.50714391928411,-73.55511903762817,Milton / St-Laurent,Le Plateau-Mont-Royal,45.512903912221326,-73.57059180741999,1714846938015,1714847904430
Atateken / du Square Amherst,Ville-Marie,45.52058271176779,-73.56395011160203,de l'Hotel-de-Ville / Ontario,Ville-Marie,45.51374520222444,-73.56666326522826,1714864579770,1714864891505
Collège de Rosemont (Beaubien / 15e avenue),Rosemont - La Petite-Patrie,45.55774990838239,-73.58380123972893,Roy / St-André,Le Plateau-Mont-Royal,45.521564270906616,-73.57036739587784,1714856380292,1714857988657
Clark / Laurier,Le Plateau-Mont-Royal,45.522583792261266,-73.59361327255101,Prince-Arthur / St-Urbain,Le Plateau-Mont-Royal,45.51262123436571,-73.5737282037735,1714881485419,1714882208220
Clark / Laurier,Le Plateau-Mont-Royal,45.522583792261266,-73.59361327255101,de L'Esplanade  / Fairmount,Le Plateau-Mont-Royal,45.521484558655224,-73.59684884548187,1714895826951,1714895939050
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),Rosemont - La Petite-Patrie,45.55151193681962,-73.58207792043686,15e avenue / Laurier,Rosemont - La Petite-Patrie,45.55331992800521,-73.56932803988457,1714841757942,1714842040541
Bourget / St-Jacques,Le Sud-Ouest,45.48067368593179,-73.58351558446884,Marché Atwater,Le Sud-Ouest,45.48020822800015,-73.57759863138199,1714855764881,1714856024016
Parc Jean-Drapeau (Chemin Macdonald),Ville-Marie,45.512470265414784,-73.53212228978008,Métro Papineau (Dorion / De Maisonneuve),Ville-Marie,45.5238445756922,-73.55236601831166,1714845943822,1714847905623
McTavish / Sherbrooke,Ville-Marie,45.50277615861811,-73.57589408755302,Prince-Arthur / du Parc,Le Plateau-Mont-Royal,45.51044465753362,-73.5755842924118,1714845774419,1714846151915
St-Laurent / Pl. du Marché,Ville-Marie,45.50928960913111,-73.56241598725319,St-Timothée / Robin,Ville-Marie,45.51863175803531,-73.56112986803055,1714878458884,1714879320563
Ste-Catherine / Dézéry,Mercier - Hochelaga-Maisonneuve,45.539385081961676,-73.54099988937377,Ann / Wellington,Le Sud-Ouest,45.494520387544334,-73.55676591396332,1714861896778,1714863185595
Métro St-Laurent ( de Maisonneuve / St-Laurent),Ville-Marie,45.51074821798916,-73.56512099504471,Métro St-Laurent ( de Maisonneuve / St-Laurent),Ville-Marie,45.51074821798916,-73.56512099504471,1714851664938,1714852162684
McTavish / Sherbrooke,Ville-Marie,45.50277615861811,-73.57589408755302,McGill / Wellington,Ville-Marie,45.499447710650415,-73.55489909648894,1714863912630,1714864963071
Milton / University,Le Plateau-Mont-Royal,45.50651983995355,-73.57640504837036,du President-Kennedy / Union,Ville-Marie,45.505102242483595,-73.57187882065773,1714856059598,1714856229178
Édouard-Montpetit / de Stirling,Côte-des-Neiges - Notre-Dame-de-Grâce,45.50698322682884,-73.61495793488301,Campus MIL (Outremont / Thérèse-Lavoie Roux),Outremont,45.52311432992147,-73.61815363168716,1714847242183,1714847921574
Métro Frontenac (Ontario / du Havre),Ville-Marie,45.533705987798946,-73.55217933654784,Messier / du Mont-Royal,Le Plateau-Mont-Royal,45.53711414,-73.5710031,1714856981610,1714857586757
Milton / Durocher,Le Plateau-Mont-Royal,45.508140959417744,-73.57492983341217,Hutchison / Prince-Arthur,Le Plateau-Mont-Royal,45.50975858607626,-73.57610732316971,1714860380079,1714860465133
Métro Lasalle (de Rushbrooke / Caisse),Verdun,45.47039991066639,-73.56551858292733,Rielle / Wellington,Verdun,45.460155859306866,-73.56700122356415,1714867990629,1714868414459
Rielle / Wellington,Verdun,45.460155859306866,-73.56700122356415,Rielle / Wellington,Verdun,45.460155859306866,-73.56700122356415,1714852559484,1714853580894
Pontiac / Gilford,Le Plateau-Mont-Royal,45.527009334270645,-73.58576595783234,Rachel / de Brébeuf,Le Plateau-Mont-Royal,45.526911494644025,-73.5727014299664,1714846681694,1714847073997
Parc du Pélican (1ere Ave / Masson),Rosemont - La Petite-Patrie,45.54518840394769,-73.57644259929657,Messier / du Mont-Royal,Le Plateau-Mont-Royal,45.53711414,-73.5710031,1714871667283,1714872079436
de L'Esplanade  / Fairmount,Le Plateau-Mont-Royal,45.521484558655224,-73.59684884548187,Bloomfield / Van Horne,Outremont,45.522745298216094,-73.61328139901161,1714852828542,1714853347204
de la Montagne / Notre-Dame,Le Sud-Ouest,45.492913379064625,-73.5646878182888,de la Montagne / Notre-Dame,Le Sud-Ouest,45.492913379064625,-73.5646878182888,1714843131842,1714843153400
St-Ambroise / Louis-Cyr,Le Sud-Ouest,45.47519326260791,-73.58094334602356,Victoria Hall,Westmount,45.48129146961133,-73.6003303527832,1714851897575,1714852701663
Boyer / Beaubien,Rosemont - La Petite-Patrie,45.537041,-73.602026,Louis-Hébert / de Bellechasse,Rosemont - La Petite-Patrie,45.546661109634606,-73.58868420124054,1714867175287,1714867780726
de l'Hôtel-de-Ville / Ste-Catherine,Ville-Marie,45.51166045593874,-73.56213569641113,de la Porte de Québec / St-André,Ville-Marie,45.51329411414168,-73.55057805776596,1714884911912,1714885446490
Drummond / des-Canadiens-de-Montréal,Ville-Marie,45.49676067752141,-73.57027635600843,de la Montagne / Notre-Dame,Le Sud-Ouest,45.492913379064625,-73.5646878182888,1714853049691,1714853232980
Place Valois (Valois / Ontario),Mercier - Hochelaga-Maisonneuve,45.54714142711512,-73.54339510202408,Métro Frontenac (Ontario / du Havre),Ville-Marie,45.533705987798946,-73.55217933654784,1714854072267,1714854672012
du Rosaire / St-Hubert,Villeray—Saint-Michel—Parc-Extension,45.54481928225348,-73.6215104162693,Rachel / de Brébeuf,Le Plateau-Mont-Royal,45.526911494644025,-73.5727014299664,1714869111817,1714870527392
Henri-Julien / Laurier,Le Plateau-Mont-Royal,45.52574657625029,-73.59033644199371,Jeanne-Mance / St-Viateur,Le Plateau-Mont-Royal,45.523026476635074,-73.60184043645859,1714863950610,1714864340872
St-Dominique / Bernard,Le Plateau-Mont-Royal,45.52793332015246,-73.60122251338906,Marché Atwater,Le Sud-Ouest,45.48020822800015,-73.57759863138199,1714849442412,1714853135510
Rielle / Wellington,Verdun,45.460155859306866,-73.56700122356415,Rielle / Wellington,Verdun,45.460155859306866,-73.56700122356415,1714857319472,1714859097454
St-André / Ste-Catherine,Ville-Marie,45.516297540849614,-73.55801045894623,Montcalm / Ontario,Ville-Marie,45.52110494530867,-73.56229394674301,1714863979641,1714864238273
Garnier / St-Grégoire,Le Plateau-Mont-Royal,45.5358215436799,-73.58710169792175,Laval / du Mont-Royal,Le Plateau-Mont-Royal,45.5223645775784,-73.58414590358734,1714868558546,1714869136091
Ann / Wellington,Le Sud-Ouest,45.494520387544334,-73.55676591396332,Marché Atwater,Le Sud-Ouest,45.48020822800015,-73.57759863138199,1714851530070,1714852266231
Guy / Notre-Dame,Le Sud-Ouest,45.490000580719105,-73.56706600863617,de la Montagne / Notre-Dame,Le Sud-Ouest,45.492913379064625,-73.5646878182888,1714870596945,1714871300446
Workman / Vinet,Le Sud-Ouest,45.483788863965174,-73.5750612616539,Robert-Bourassa / St-Maurice,Ville-Marie,45.49837045828952,-73.56055587530136,1714850366963,1714851147777
