STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
St-Antoine / Jean-Paul Riopelle,Ville-Marie,45.50304782909863,-73.56058964667682,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1755236761256,1755237462006
McGill / Place d'Youville,Ville-Marie,45.500014581102505,-73.55625258141116,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1752589105892,1752589701339
Métro Jarry (Lajeunesse / Jarry),Villeray—Saint-Michel—Parc-Extension,45.54355974189168,-73.62777203321457,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1752700043547,1752701708439
St-Antoine / Jean-Paul Riopelle,Ville-Marie,45.50304782909863,-73.56058964667682,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1755236783605,1755237464310
Parc de Dieppe (Pierre-Dupuy),Ville-Marie,45.501863463435576,-73.5439610481262,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1752678918704,1752679857059
Henri-Julien / Duluth,Le Plateau-Mont-Royal,45.519708622694985,-73.57674568891525,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1755615793850,1755616070726
Victoria / de Maisonneuve,Westmount,45.47742856483265,-73.60016942024231,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1749176177385,1749178849255
Berri / Cherrier,Le Plateau-Mont-Royal,45.519266156911335,-73.5692971944809,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1751327070397,1751327276209
St-Antoine / Jean-Paul Riopelle,Ville-Marie,45.50304782909863,-73.56058964667682,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1749665829061,1749666683732
Ryde / Charlevoix,Le Sud-Ouest,45.4757434,-73.5646007,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1749664280776,1749665730337
Henri-Julien / Duluth,Le Plateau-Mont-Royal,45.519708622694985,-73.57674568891525,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1755462111153,1755462477270
Duluth  / St-Denis,Le Plateau-Mont-Royal,45.52062760607925,-73.57594907283782,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1755451983704,1755452405464
Clark / Evans,Ville-Marie,45.51109876719028,-73.56784343719482,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1751320009346,1751320400966
Lajeunesse / de Liège,Villeray—Saint-Michel—Parc-Extension,45.54566376066234,-73.63510044919167,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1753832732685,1753834550609
Berri / Cherrier,Le Plateau-Mont-Royal,45.519266156911335,-73.5692971944809,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1760474905807,1760475138041
Maguire / St-Laurent,Le Plateau-Mont-Royal,45.524628485592636,-73.5958108305931,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1752960677700,1752961671799
Clark / Evans,Ville-Marie,45.51109876719028,-73.56784343719482,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1752954844326,1752955157915
Clark / Evans,Ville-Marie,45.51109876719028,-73.56784343719482,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1755705319271,1755705574149
Mackay / Sherbrooke,Ville-Marie,45.49758647633681,-73.58060002326965,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1755704643183,1755705860290
McGill / Place d'Youville,Ville-Marie,45.500014581102505,-73.55625258141116,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1755696497871,1755697362465
Parc Nicolas-Tillemont (des Érables / Villeray),Villeray—Saint-Michel—Parc-Extension,45.55463653358596,-73.61255215771962,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1750108260569,1750110011065
de l'Épée / Laurier,Outremont,45.516990554375184,-73.5984548554552,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1755699866627,1755700994708
Cartier / Dandurand,Rosemont - La Petite-Patrie,45.53923559055867,-73.58594566583633,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1751585328332,1751586565759
Laval / Rachel,Le Plateau-Mont-Royal,45.52022449558384,-73.5795271396637,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1752963593084,1752963911279
Métro Jarry (Lajeunesse / Jarry),Villeray—Saint-Michel—Parc-Extension,45.54355974189168,-73.62777203321457,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1749329587332,1749331040720
Jeanne-Mance / Beaubien,Rosemont - La Petite-Patrie,45.527650097960205,-73.61229971051216,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1753136348327,1753137338450
du Square Saint-Louis / Laval,Le Plateau-Mont-Royal,45.51608652423074,-73.570156325477,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1751580776746,1751580963659
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,45.52451761488783,-73.57197672128677,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1751571420643,1751571959777
Clark / St-Viateur,Le Plateau-Mont-Royal,45.5251943015533,-73.59935637563467,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1753910309759,1753911227605
Robert-Bourassa / Ste-Catherine,Ville-Marie,45.50325409319902,-73.57002343989733,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1751306406336,1751306947530
Jeanne-Mance / Beaubien,Rosemont - La Petite-Patrie,45.527650097960205,-73.61229971051216,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1749503601336,1749504644199
du Square Saint-Louis / Laval,Le Plateau-Mont-Royal,45.51608652423074,-73.570156325477,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1752615732621,1752615948190
Berri / Cherrier,Le Plateau-Mont-Royal,45.519266156911335,-73.5692971944809,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1752624132559,1752624337164
Laval / Duluth,Le Plateau-Mont-Royal,45.519192617838605,-73.57715926134915,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1749911135286,1749911595094
Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,45.53036486555959,-73.58439266681671,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1749902002198,1749902632809
des Pins / Hutchison,Le Plateau-Mont-Royal,45.51077694102021,-73.57825007289647,BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,1749909331146,1749909906504
